                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.89378,                0.40376,                0.96586,                0.97348,                0.98664,                0.98921,                0.74688,                0.90533,                0.34131,                0.97632,               0.009307,               0.009307,               0.009307
                     37,                0.90057,                0.40225,                0.97047,                0.97411,                0.98828,                 0.9904,                0.74728,                0.89941,                0.34128,                0.98867,              0.0092872,              0.0092872,              0.0092872
                     38,                0.89122,                0.39872,                0.96818,                0.97335,                0.98504,                0.98984,                0.74505,                0.90765,                0.34004,                0.98496,              0.0092674,              0.0092674,              0.0092674
                     39,                0.89322,                0.39634,                0.96267,                0.98089,                0.98662,                0.99208,                0.74488,                0.90428,                0.33865,                0.97196,              0.0092476,              0.0092476,              0.0092476
                     40,                 0.8909,                0.39673,                0.96138,                0.97832,                0.98376,                 0.9885,                0.74399,                0.90418,                0.34243,                0.98239,              0.0092278,              0.0092278,              0.0092278
                     41,                0.89033,                0.39433,                0.96569,                0.96916,                0.98619,                0.98766,                0.74716,                0.90181,                0.34245,                0.98062,               0.009208,               0.009208,               0.009208
                     42,                 0.8877,                0.39303,                0.97079,                0.97253,                0.98947,                0.98957,                0.74362,                0.90667,                0.34353,                0.99357,              0.0091882,              0.0091882,              0.0091882
                     43,                0.88534,                0.39259,                0.96467,                0.97711,                0.98338,                0.99101,                0.74759,                0.90369,                0.33422,                0.97124,              0.0091684,              0.0091684,              0.0091684
                     44,                0.88674,                0.38907,                0.96103,                0.97308,                0.98815,                0.98991,                0.74713,                0.90731,                0.34204,                0.97486,              0.0091486,              0.0091486,              0.0091486
                     45,                0.88365,                0.39065,                0.96586,                0.97317,                0.98826,                0.98968,                0.74146,                0.90461,                0.33627,                0.99258,              0.0091288,              0.0091288,              0.0091288
                     46,                0.87669,                0.38688,                0.96225,                0.97624,                0.98816,                0.99122,                0.74556,                0.90405,                0.33605,                0.97973,               0.009109,               0.009109,               0.009109
                     47,                0.87726,                0.38374,                0.96347,                0.97469,                0.98823,                0.99185,                0.74044,                0.90933,                0.33991,                0.99904,              0.0090892,              0.0090892,              0.0090892
                     48,                0.88105,                0.39067,                 0.9676,                0.97929,                0.98512,                0.99159,                 0.7421,                0.90642,                0.33789,                0.98958,              0.0090694,              0.0090694,              0.0090694
                     49,                0.87385,                0.38533,                 0.9645,                0.96923,                 0.9902,                0.98851,                 0.7458,                0.90718,                0.33703,                0.98082,              0.0090496,              0.0090496,              0.0090496
                     50,                 0.8727,                 0.3833,                0.96397,                0.97858,                0.98726,                0.99198,                0.74881,                0.90057,                 0.3301,                0.98533,              0.0090298,              0.0090298,              0.0090298
                     51,                0.86818,                0.38057,                0.96001,                0.96976,                0.99278,                0.98923,                0.74993,                0.89812,                 0.3348,                0.97164,                0.00901,                0.00901,                0.00901
                     52,                0.87117,                 0.3828,                0.96231,                0.97245,                0.99391,                0.99155,                0.74598,                0.90296,                0.32969,                0.98055,              0.0089902,              0.0089902,              0.0089902
                     53,                0.86817,                0.38039,                0.96122,                0.97909,                0.98513,                0.99045,                0.74677,                0.90065,                0.33203,                 0.9809,              0.0089704,              0.0089704,              0.0089704
                     54,                0.86944,                0.37985,                0.95731,                0.97301,                 0.9882,                0.99017,                0.74555,                0.90775,                0.33317,                0.98233,              0.0089506,              0.0089506,              0.0089506
                     55,                 0.8637,                0.37621,                0.95878,                 0.9682,                0.98844,                0.99035,                0.74513,                0.91206,                0.33505,                0.98892,              0.0089308,              0.0089308,              0.0089308
